label,text
"IT","Monitor bez tajemnic, cz. 2. Monitor (w komputerze stacjonarnym) lub wyświetlacz (w laptopie) to nieodłączny element współczesnego peceta. W naszym poradniku poszerzającym horyzonty wiedzy zajmiemy się m.in. rodzajami matryc ciekłokrystalicznych, różnicami pomiędzy nimi, ich wadami i zaletami (zaktualizowanymi! bo wiele informacji dostępnych w Sieci straciło na aktualności), a także panelami OLED w kontekście ich zastosowania w roli monitorów i wyświetlaczy w laptopach. "
"IT","Realme X50 Pro 5G - test pogromcy flagowców Xiaomi. W tym roku firma Xiaomi nieco nas zawiodła wysokimi cenami swoich flagowców Mi 10 oraz Mi 10 Pro. Rynek nie lubi jednak próżni i... lukę tę od razu próbują wypełnić inni producenci, jak choćby chiński Realme. Produkty tej marki dopiero niedawno pojawiły się w polskich sklepach, a na start poszły oczywiście najlepiej sprzedające się średniaki - Realme 6 i Realme 6i. "
"IT","Test procesorów Ryzen 5 4500U i Ryzen 7 4700U – recenzja nowego Acer Swift 3. Dwa modele z najnowszymi procesorami od AMD: Ryzen 5 4500U lub Ryzen 7 4700U, Wydajne zintegrowane układy graficzne Radeon Graphics Prosty design, kompaktowe wymiary i bardzo mała masa 14-calowy ekran o wąskich ramkach Wysoka kultura pracy i długi czas działania na zasilaniu akumulatorowym Niedawno mieliśmy długo wyczekiwaną możliwość przetestowania pierwszych laptopów z nowymi mobilnymi Ryzenami z serii H. "
"IT","Intel Core i9-10900K i Core i5-10600K – test dwóch procesorów z rodziny Comet Lake S. Intel oferuje już szóstą rodzinę procesorów do domowych komputerów wykonaną w procesie technologicznym klasy 14 nm: po Broadwell, Skylake, Kaby Lake, Coffee Lake i Coffee Lake Refresh nadchodzi Comet Lake. Oczywiście 14 nm to nazwa marketingowa, która nie określa istotnych cech tej techniki produkcji – gęstości tranzystorów (która w tych procesorach jest mało istotna), prędkości przełączania tranzystorów czy energooszczędności. "
"IT","Artykuł sponsorowany: Dyski twarde SKYHAWK w nowoczesnych systemach monitoringu KENIK. Nie ulega wątpliwości, że pandemia koronawirusa zmieni świat. Zmienią się nasze zachowania, przyzwyczajenia, metody pracy. Naukowcy twierdzą, że bardziej uzależnimy się od technologii. Internet będzie odgrywał coraz większą rolę w naszym życiu. Będziemy postawieni przed koniecznością przechowywania i przetwarzania rosnącej liczby danych. "
"IT","Gears Tactics – test wydajności kart graficznych. Taktyczne gry turowe powoli odżywają, po serii XCOM i świetnemu Phoenix Point, otrzymujemy tytuł, którego nikt się nie spodziewał. 4K i średnio 51 kl./s to trochę mniej niż obiecywane 4K 60 kl./s na konsolach. Unreal Engine 4 pokazuje, że pomimo zapowiedzi piątej odsłony silnika, nadal ma jeszcze trochę do zaoferowania. Wyjątkowo niskie wymagania odnośnie zainstalowanego procesora w komputerze. "
"IT","AMD Ryzen 3 1200AF − test wydajności w grach. Segment tanich procesorów do gier to temat tabu, komputery do gier utożsamiane są z potężnymi i drogimi pecetami. Niedawne wprowadzenie do sprzedaży czterordzeniowego układu za 250 złotych dało nam pretekst do sprawdzenia, czy tani komputer nadaje się do gier. "
"IT","Logitech G604 Lightspeed — test prawdziwie uniwersalnej bezprzewodowej myszy gamingowej od Logitech. Z pewnością wiele jest osób, które z sentymentem wspominają bezprzewodową mysz Logitech G602 – jedną z najlepszych bezprzewodowych myszek dla zaawansowanych graczy, która swoją premierę miała w 2013 roku. Niektórzy z Was zapewne wciąż mają ją w swojej szufladzie. Nie śmiemy też wątpić w to, że część z Was w dalszym ciągu z niej korzysta. Jeszcze do niedawna trudno było znaleźć jej następcę. "
"IT","Test LG V60 ThinQ 5G - w poszukiwaniu pomysłów na idealny flagowiec. Firma LG od dłuższego czasu ma trudności ze skontrowaniem flagowego smartfonu, który miałby tę iskrę stylistycznego lub choćby technicznego szaleństwa. Koreańskim konstruktorom wystarczało zwykle inwencji na przygotowanie kolejnego, konstrukcyjnie solidnego i funkcjonalnie poprawnego urządzenia. To stereotypowe postrzeganie marki LG zmienić ma ponoć najnowszy V60 ThinQ 5G. Zobaczmy, czy rzeczywiście są na to szanse? "
"IT","Ryzen 3 3300X kontra Ryzen 3 3100 zegar w zegar – czemu jeden CCX jest szybszy? Dzięki dodatkowym kilku godzinom testów mogłem uzupełnić testy wydajności nowych tanich Ryzenów 3000 o podkręconą „ręcznie” – czyli z wybranym przeze mnie taktowaniem i napięciem, bez użycia PBO ani Auto OC – konfigurację Ryzena 3 3300X. Wyższy z dwóch nowych modeli udało się przyspieszyć również do 4500 MHz, przy nieco wyższym napięciu zasilania (1,33 V). "
"IT","AMD Ryzen 3 3300X i Ryzen 3 3100 – dwa czterordzeniowe procesory o architekturze Zen 2. Wśród procesorów poniżej 800 zł wybór był ostatnio dość ograniczony. Intel nie poświęcał wiele uwagi tej półce cenowej, a AMD oferowało niezłe Ryzeny 5 2600 i 1600AF. Brakowało procesora równie nowoczesnego, co Ryzeny 3000; który miałby jednocześnie wielowątkową przewagę, za którą zdobyły uznanie Ryzeny 1. i 2 generacji oraz konkurencyjną w stosunku do Core jednowątkową wydajność i sprawność w grach. "
"IT","Asus ROG Zephyrus G14 (GA401IV) – test 14-calowego laptopa z Ryzenem 9 4900HS. Wydajny procesor AMD Ryzen 9 4900HS Karta graficzna Nvidia GeForce RTX 2060 Max-Q - pierwsza w tak małym laptopie 14-calowy ekran o rozdzielczości WQHD i wysokim pokryciu palety sRGB Kompaktowe wymiary i masa oraz świetna jakość wykonania Długi czas działania na zasilaniu akumulatorowym Mobilne AMD w kontrataku. Nasza ostatnia recenzja laptopa z Ryzenem serii 4000 pokazała, że w tych układach drzemie ogromny potencjał. "
"IT","Samsung C27T550FDU (LC27T550FDUXEN) - superzakrzywiony ekran - test uniwersalnego monitora do domu. Samsugn C27T550FDU to monitor o największym stopniu wygięcia ekranu spośród aktualnie dostępnych monitorów komputerowych na rynku. Jego ekran ma współczynnik wygięcia wynoszący 1000 R, co zdaniem producenta ma powodować mniejsze zmęczenie wzroku niż monitory z płaskimi, czy też w mniejszym stopniu zagiętymi ekranami. "
"IT","Asus TUF Gaming A15 (FA506IV) – test laptopa z Ryzenem 7 4800H. Ekstremalnie wydajny procesor AMD Ryzen 7 4800H Odświeżona karta graficzna Nvidia GeForce RTX 2060 15,6-calowy ekran o 144-hercowym odświeżaniu i wsparciu dla Adaptive SYNC Długi czas działania na zasilaniu akumulatorowym Bardzo atrakcyjna cena Nowe mobilne Ryzeny serii 4000 były długo wyczekiwane przez entuzjastów gamingowych laptopów, a związane z nimi oczekiwania były naprawdę duże. "
"IT","Sztuczna inteligencja kontra COVID-19. W globalnej epidemii, takiej jak COVID-19, technologia, sztuczna inteligencja i data science stały się kluczowe dla pomocy społeczeństwu w skutecznym radzeniu sobie z epidemią. "
"IT","Minecraft RT: test wydajności kart graficznych w najlepszej realizacji techniki ray tracingu. Czy pójdzie na tym Crysis właśnie przestało być aktualne! Od dzisiaj będziemy mówić: Czy pójdzie na tym Minecraft RTX ! najwydajniejsza karta graficzna - Nvidia GeForce RTX 2080 Ti na kolanach! 11 GB VRAM to za mało! Najbardziej zaawansowany model śledzenia promieni w grze komputerowej Po prostu WOW! (w oddali pochlipuje GeForce RTX 2060) "
"IT","Resident Evil 3 – test wydajności kart graficznych. Kolejny remake studia Capcom, który ma przypomnieć graczom, kto jest mistrzem survival horrorów. Czy tym razem naszym jedynym zmartwieniem będzie walka o przetrwanie, czy też batalia ze zbyt słabym sprzętem? Do 60 klatek na sekundę wystarczy GeForce GTX 1060 6 GB. Jedne z najładniejszych modeli postaci, jakie było nam ostatnio oglądać. Bardzo dobry poradnik, jak przetrwać apokalipsę zombie. "
"IT","Recenzja Intel NUC10i7FNH – miniPC z 6-rdzeniowym procesorem. Miniaturowy komputer dla osób potrzebujących urządzenia o sporej mocy obliczeniowej Proste wzornictwo i solidna jakość wykonania Wydajny sześciordzeniowy procesor z rodziny Comet Lake-U o podniesionym TDP Duży zestaw portów i możliwość łatwej wymiany niektórych podzespołów Urządzenia z serii NUC 8 Performance to miniaturowe komputery przeznaczone dla osób, które nie tylko cenią minimalizm i wolną przestrzeń na biurku, ale potrzebują też do codziennej pracy urządzeń o sporej mocy obliczeniowej. "
"IT","Variable Rate Shading – zgrubne cieniowanie w DirectX i nowych konsolach. Generowanie grafiki komputerowej wymaga rozwiązania dwóch rodzajów problemów: jak odwzorować rzeczywistość za pomocą obliczeń, i jak to zrobić wykonując możliwie mało obliczeń. Mnóstwo wysiłku i badań poświęca się wynalezieniu takich uproszczeń, które dla obserwatora wyglądają jak dokładna symulacja rzeczywistości, ale nie wymagają przeprowadzania tej dokładnej symulacji. "
"IT","Half - Life: Alyx – test wydajności kart graficznych i wrażenia z gry. Half-Life: Alyx to pozycja obowiązkowa każdego posiadacza gogli VR. Sprawdziliśmy, jakej karty graficznej potrzebujesz do płynnego przemieszczania się po CITY 17. Jesteście ciekawi naszych wrażeń z gry? Zapraszamy do lektury. Najlepsza odsłona Half-Life wymagania gry wcale nie są duże, wystarczy GeForce GTX 1060 6GB i Radeon RX 580 8GB "
"IT","Motorola Moto G Pro - mid-range'owy smartfon z rysikiem. To może być jeden z ciekawszych modeli Motoroli ostatnich lat. Trudno nie zauważyć, że fani smartfonów z rysikiem nie mają łatwego życia. Rynek jest totalnie zdominowany przez Samsungową serię Galay Note, a jej reprezentanci, jak dobrze wiemy, nie należą do najtańszych. W sklepach ewidentnie brakuje nowych telefonów, które współpracowałyby ze stylusowem, ale miały mid- range'owe podzespoły i zdecydowanie niższe ceny. "
"IT","Realme oficjalnie wchodzi na rynek telewizorów! Trzeba przyznać, że wygląda to naprawdę nieźle. Realme to wciąż stosunkowy świeży gracz na rynku smartfonów, ale firma ma już całkiem pokaźną bazę klientów. Dlaczego? Wszystko oczywiście dzięki rewelacyjnemu stosunkowi ceny do oferowanych podzespołów, jakim cechują się jej urządzenia. Cieszy więc fakt, że producent mocno poszerza swoją ofertę. "
"IT","Huawei P40 Pro+ niedługo trafi do sklepów. Nareszcie. Huawei już od dłuższego czasu jest jednym z najważniejszych graczy na rynku smartfonów. Nic dziwnego więc, że premiera nowych flagowców firmy z serii P, nawet pomimo tego, że urządzenia, na skutek amerykańskich sankcji, zostały odcięte od ekosystemu Google, spotkała się z takim zainteresowaniem w sieci. Zdaniem wielu osób ten sprzęt wciąż mógł być ciekawą alternatywą dla iPhone'ów czy Samsungów Galaxy S. "
"IT","LG Velvet trafi do oficjalnej sprzedaży w Europie. Producent raczej mocno się przeliczy, jeśli zakłada, że sprzęt będzie cieszył się dużym wzięciem. LG już od dłuższego czasu ma ogromne problemy na rynku smartfonów. Promowane przez firmę urządzenia przegrywają nie tylko z high- endowymi modelami takich marek jak Samsung, Apple czy Huawei, ale również z dużo tańszymi konstrukcjami z Chin. Mówiąc krótko, najwyższy czas na jakieś zmiany w ofercie. "
"IT","Plotka: tegoroczne iPhone'y jednak nie zostaną pozbawione portów. Szkoda, byłoby to naprawdę duże usprawnienie konstrukcji giganta z Cupertino. Trudno nie zauważyć, że iPhone'y ostatnimi czasy, pomimo zachowania bardzo wysokich wyników sprzedaży, zdają się mocno rozczarowywać internautów. Serii Xr i Xs zarzucano recykling stylistyki jubileuszowego iPhone'a X, a modelom linii 11 brak istotnych zmian względem starszych konstrukcji Apple. "
"IT","Logitech G915 TKL - mechaniczna klawiatura bezprzewodowa z łącznością Lightspeed i podświetleniem RGB LED. Logitech G, marka Logitecha skupiająca się na produktach dla graczy, przedstawiła dzisiaj nowego członka swojej szerokiej oferty produktowej. Do portfolio dołączyła klawiatura mechaniczna Logitech G915 TKL, która powinna zainteresować użytkowników, szukających konstrukcji bezprzewodowych z szybką łącznością i podświetleniem RGB LED. "
"IT","Samsung Exynos 880 z modemem 5G oficjalnie zaprezentowany. Samsung ma swojego odpowiednika dla wyposażonych w moduł 5G chipów Snapdragona. Jest nim zaprezentowany dzisiaj Exynos 880, mający, co ciekawe, trafić w pierwszej kolejności wcale nie do smartfonów Koreańczyków, a do nowej konstrukcji firmy Vivo. Przyjrzyjmy się specyfikacji ujawnionego układu SoC, który na pewno będzie w przyszłości chętnie stosowany w kolejnych urządzeniach. "
"IT","Acer Predator X38 - duży i drogi monitor dla graczy zmierza na polski rynek. Potężny wyświetlacz dla najbardziej wymagających w końcu na naszym rynku. Acer zapowiedział rozpoczęcie sprzedaży w Polsce monitora Predator X38, powstałego z myślą o najbardziej wymagających klientach. Sprzęt oferuje duży panel IPS o wysokim odświeżaniu, na którym bez problemu będzie można wyświetlać materiały z HDR. "
"IT","Axiomtek CAPA13R - zestaw do urządzeń wbudowanych z Ryzenem Embedded. Produkty firmy Axiomtek raczej nie są kojarzone przez szeroką grupę użytkowników, co nie oznacza, że podmiot nie ma w swojej ofercie ciekawego sprzętu. Do tej grupy należy zestaw do urządzeń wbudowanych CAPA13R, na którego pokładzie zamontowano jeden z procesorów Ryzen Embedded. Sprawdźmy, jak wygląda specyfikacja tego produktu. "
"IT","Heavy Rain, Beyond: Two Souls i Detroit: Become Human zadebiutują na Steamie już 18 czerwca. Użytkownicy Steama w końcu doczekali się oficjalnej zapowiedzi gier Quantic Dream na swoją platformę. Studio oficjalnie potwierdziło datę wprowadzenia do sklepu Valve trzech swoich produkcji: Heavy Rain, Beyond Two Souls i Detroit: Become Human. We wszystkie te tytuły można było już zagrać na PC, ale były do tej pory dostępne na wyłączność dla sklepu Epic Games Store. "
"IT","Linus Torvalds przeniósł się na platformę AMD po 15 latach korzystania z procesorów Intela. Intel traci kolejnego ważnego wieloletniego klienta. Strata jest tym bardziej znacząca, że chodzi o Linusa Torvaldsa, twórcę jądra Linuksa, który nadal jest ważną osobą w branży technologicznej. Pod względem wizerunkowym jest to policzek wymierzony niebieskim i równocześnie duże wsparcie firmy AMD, z której platformy zamierza teraz korzystać Torvalds. "
"IT","Xbox Series X pojawił się w sklepie Microsoftu. Niebawem może ruszyć przedsprzedaż konsoli. Po pierwszych prezentacjach Xboksa Series X czekamy już przede wszystkim na ujawnienie ceny sprzętu. Informację tę powinniśmy poznać już niedługo, bo nowa konsola Microsoftu właśnie pojawiła się w oficjalnym sklepie firmy. Może to oznaczać, że firma z Redmond zamierza już niedługo rozpocząć uruchomienie zamówień przedpremierowych urządzenia. "
"IT","Sony Xperia 1 II trafia do oficjalnej przedsprzedaży w Polsce. Firma ewidentnie nie chce uczyć się na błędach. Sony już od paru ładnych lat ma ogromne problemy na rynku smartfonów. Promowane przez Japończyków urządzenia dość kiepsko się sprzedają i przegrywają walkę o klienta nie tylko z konkurencyjnymi urządzeniami promowanymi przez takie marki jak Samsung, Apple czy Huawei, ale również z tanim sprzętem od producentów z Chin. Dlaczego? "
"IT","Realme X50 Pro Player - specyfikacja techniczna. Świetna propozycja dla graczy. Realme, obok swojego pierwszego smartwatcha, pokazało dziś także nowy, gamingowy telefon. Urządzenie nosi nazwę Realme X50 Pro Player i w dużej mierze bazuje na high-endowej konstrukcji Realme X50 Pro, ale ma słabsze aparaty fotograficzne i kilka usprawnień dedykowanych aplikacjom, które przede wszystkim potrzebują ogromnej mocy obliczeniowej. "
"IT","Huawei Enjoy Z 5G - jeden z najtańszych smartfonów z 5G. Coś dla tych, którym przede wszystkim zależy do dostępnie do nowego standardu łączności i jak najniższej cenie. Kiedy w zeszłym roku pojawiły się pierwsze smartfony z 5G w sieci widać było narzekania, że są to tylko bardzo drogie konstrukcje klasy premium. Sytuacja zaczęła jednak z czasem się zmieniać, a dziś bez większego problemu można już kupić mid-range'owy sprzęt obsługujący tę technikę. "
